CREDIT_LIMIT_ID	BUYER_NUMBER	BUYER_NAME	POLICY_NUMBER	LEGACY_POLICY	COMMITMENT_CATEGORY_NUMBER	COMMITMENT_CATEGORY	COMMITMENT_TYPE	CONDITION_CODE	CLD_EXPIRY_DATE	REFRESH_DATE
103161165	13702221	SYSTEMA AMBIENTE S.P.A.	1047080	36022B3 04	14	Inward Re	FBON	T502	30/06/2024	01/07/2023
103161172	13702221	SYSTEMA AMBIENTE S.P.A.	1047077	36022B3 03	14	Inward Re	FBON	T502	30/06/2024	01/07/2023
103161432	17722302	KTC CIVIL ENGINEERING &	1047288	36069B3 07	14	Inward Re	FBON	T502	31/08/2024	01/07/2023
103161490	88344203	DAIKAN CO.,LTD.	1047344	09850B1 01 SA	14	Inward Re	SBON	T502	15/10/2027	01/07/2023
103161519	15481457	DHARAMPAL SATYAPAL LIMITED	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	31/08/2024	01/07/2023
103161578	22325159	SEB POWER SDN. BHD.	1047341	09976C1 03 SA	14	Inward Re	SCRE	T502	01/08/2026	01/07/2023
107411184	22406695	PT. PURINUSA EKAPERSADA	1101680	09976C1 05 SA	14	Inward Re	SCRE	T502	20/10/2028	01/07/2023
108175224	13702221	SYSTEMA AMBIENTE S.P.A.	1047075	36022B3 02	14	Inward Re	FBON	T502	31/12/2027	01/07/2023
108388318	22086272	GALADARI BROTHERS CO LLC	1117479	08890C3 02	14	Inward Re	FCRE	T502	28/02/2026	01/07/2023
108935447	2750713	PENTECH INTERNATIONAL INC	1046937	36146B3 01	14	Inward Re	FBON	T502	28/07/2023	01/07/2023
109590492	13679214	YPF SA	1047210	36090B1 01 SA	14	Inward Re	SBON	T502	31/12/2024	01/07/2023
109590712	22409774	COMPAÑIA GENERAL DE COMBUSTIBLES	1047210	36090B1 01 SA	14	Inward Re	SBON	T502	31/12/2024	01/07/2023
109591274	1850315	TECPETROL S.A.	1047210	36090B1 01 SA	14	Inward Re	SBON	T502	31/12/2024	01/07/2023
110741250	4008399	SWIETELSKY AG	1062615	36180B1 02 SA	14	Inward Re	SBON	T502	30/04/2028	01/07/2023
110978406	91709119	GALINTA UAB	1062615	36180B1 02 SA	14	Inward Re	SBON	T502	31/08/2024	01/07/2023
111304984	22763473	TOKSIKA UAB	1062615	36180B1 02 SA	14	Inward Re	SBON	T502	14/10/2023	01/07/2023
112432956	9940017	WARTER FUELS S A	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/10/2023	01/07/2023
113181306	13860251	J & S ENERGY S A	1082845	36180C1 01 SA	14	Inward Re	SBON	T502	05/02/2024	01/07/2023
114554261	10323108	PLAN GROUP INC	1196158	36197B1 01 SA	14	Inward Re	SBON	T502	24/12/2026	01/07/2023
114961698	575243	ICA FLÚOR DANIEL, S. DE R.L. DE	1199838	36122B3 01	14	Inward Re	FBON	T502	26/10/2023	01/07/2023
114961913	575243	ICA FLÚOR DANIEL, S. DE R.L. DE	1199920	07359B3 14	14	Inward Re	FBON	T502	02/11/2023	01/07/2023
114962073	16372995	BANCO ITAULEASING S/A	1199842	04550B3 38	14	Inward Re	FBON	T502	04/04/2027	01/07/2023
115021338	18789253	RIPCONCIV CONSTRUCCIONES CIVILES	1047342	03117B1 01 SA	14	Inward Re	SBON	T502	31/01/2024	01/07/2023
116062901	22701557	UNIMOT PALIWA SP Z O O	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	03/01/2024	01/07/2023
116546668	15240227	PRIVREDNO DRUSTVO ZA PROIZVODNJU,	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
116546682	19232694	KURANA UAB	1062615	36180B1 02 SA	14	Inward Re	SBON	T502	31/07/2023	01/07/2023
116546779	687924	OVENDEN PAPERS LIMITED	1047113	36031C1 01 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
116889946	15454809	INPEX CORPORATION	1218844	08890C1 05 SA	14	Inward Re	SCRE	T502	30/06/2029	01/07/2023
116890044	24045373	CORAL TRAVEL ESTONIA OU	1046504	00794B1 01 SA	14	Inward Re	SBON	T502	31/07/2023	01/07/2023
116890066	54749353	ANTEX GMBH	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
116979322	16454363	RAKUTEN GROUP INC	1218823	09850C3 03	14	Inward Re	FCRE	T502	25/09/2025	01/07/2023
116986745	11375164	PX MANUFACTURING LTD	1046589	02108C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
116986884	16377073	ATM DRUSTVO SA OGRANICENOM	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
116987116	22576961	LARSEN & TOUBRO LIMITED	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
116986943	17257941	GEBI PROIZVODNO-TRGOVINSKO DRUSTVO	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
116986953	19362453	AL TAWAKOL ELECTRICAL COMPANY SAE	1046589	02108C1 01 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
116986966	19723797	WORLD FUEL SERVICES TRADING DMCC	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	17/07/2023	01/07/2023
116987294	24050668	EDUARDO RICARDO VIAGGIO	1047210	36090B1 01 SA	14	Inward Re	SCRE	T502	31/07/2025	01/07/2023
116987300	24060112	TECHINT COMPANIA TECNICA	1047210	36090B1 01 SA	14	Inward Re	SCRE	T502	30/10/2023	01/07/2023
116987476	9105082	DAN PUBLIC TRANSPORTAION	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282033	13773096	TOMMY DRUSTVO S OGRANICENOM	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282058	16468437	LULU MUSCAT EXPRESS SHOPPING LLC	1147354	03023C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282063	18168197	ZDRAVSTVENA USTANOVA - APOTEKA	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282066	19763883	SOPHARMA TRADING DOO	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282084	22670593	PHOENIX PHARMA SE	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282151	4258803	INDIAN OIL CORPORATION LIMITED	1046977	09781C1 01 SA	14	Inward Re	SCRE	T502	29/02/2024	01/07/2023
117282154	4736622	NORTHWOOD PAPER SALES LIMITED	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	17/08/2023	01/07/2023
117282158	4739071	WILFRIED HEINZEL	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282164	49046682	BETA RENEWABLES FRANCE	1098596	36136B1 01 SA	14	Inward Re	SBON	T502	31/08/2025	01/07/2023
117282173	52095901	JUNTA DE BENEFICENCIA DE GUAYAQUIL	1058229	02085C1 01 SA	14	Inward Re	SCRE	T502	31/08/2024	01/07/2023
117282303	10259758	CRISTAL UNION	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282306	11363391	DUNNES STORES UNLIMITED COMPANY	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282359	11456588	SHIKUN & BINUI LTD	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117282391	16823847	GIGATRON EKSPORT-IMPORT, PRODAJA I	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282539	23704485	POWER CONSTRUCTION CORPORATION OF	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282581	615820	CZARNIKOW GROUP LIMITED	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117282589	8964313	AMAZON.COM, INC.	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117282593	981705	HOME DEPOT, INC., THE	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117301381	11392546	SAN MAR CORPORATION	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117301388	11661374	NEXT RETAIL LIMITED	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
117301392	17561052	ESKY PL S A	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	06/09/2023	01/07/2023
117301398	17713602	RAMI LEVI CHAIN STORES HASHIKMA	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117301405	2228568	WILKO LIMITED	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117301414	2311266	DUGGAN BROTHERS (CONTRACTORS)	1222496	36205B1 01 SA	14	Inward Re	SBON	T502	24/08/2023	01/07/2023
117301445	2507922	ASDA GROUP LIMITED	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117301469	2640700	UNITED PIPE & STEEL CORP.	1147354	03023C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117301479	3962688	SOC D'IMPORTATION LECLERC	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
117301681	23937677	GRUPO ENERGIAMAS, S.A.P.I. DE C.V.	1046759	07359B1 04 SA	14	Inward Re	SBON	T502	24/09/2023	01/07/2023
117664951	21775268	ITAU SEGUROS S/A	1212794	04550B3 39	14	Inward Re	FBON	T502	06/04/2027	01/07/2023
117666524	41598654	JAPAN COAL DEVELOPMENT CO LTD	1225521	09850B3 02	14	Inward Re	FBON	T502	31/08/2023	01/07/2023
117667875	16073509	DAIWA HOUSE INDUSTRY CO LTD	1225535	08890C3 03	14	Inward Re	FCRE	T502	18/03/2027	01/07/2023
117643365	2540841	EMPRESA NACIONAL DEL PETROLEO, -	1046977	09781C1 01 SA	14	Inward Re	SCRE	T502	29/02/2024	01/07/2023
117643333	16130430	YARA SWITZERLAND LTD.	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	21/08/2023	01/07/2023
117691829	85098654	TRAVELDEALS LT UAB	1046504	00794B1 01 SA	14	Inward Re	SBON	T502	04/11/2023	01/07/2023
117691820	75312393	GROUPE DUVAL	1072506	36180B1 01 SA	14	Inward Re	SBON	T502	30/09/2023	01/07/2023
117691772	15644827	DELHAIZE SERBIA DRUSTVO SA	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117672259	23335588	SIBANYE STILLWATER LTD	1072507	36128B1 01 SA	14	Inward Re	SBON	T502	30/09/2025	01/07/2023
117672262	16371541	SCHWARZ BETEILIGUNGS-KG	1058224	08296C1 01 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117672264	5876086	TRANSINVEST CONSTRUCTION LTD	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
117751736	4252663	ACCIONA SA	1046765	07367B3 39	14	Inward Re	FBON	T502	15/07/2024	01/07/2023
117793265	13965278	PRZEDSIEBIORSTWO USLUGOWO HANDLOWE	1046672	03079C1 72 SA	14	Inward Re	SCRE	T502	30/08/2023	01/07/2023
117792011	10411128	WILLIAM CARTER COMPANY, THE	1047113	36031C1 01 SA	14	Inward Re	SCRE	T502	29/09/2023	01/07/2023
117792027	11333210	MONJASA A/S	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	26/09/2023	01/07/2023
117792041	15581224	SHAPIR CIVIL AND MARINE	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117792048	15875969	FARMALOGIST DOO BEOGRAD PALILULA	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117792075	16957520	MONDI PLC	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
117792107	20930547	MERAV - MAZON KOL LTD	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
117793345	9726948	NATSONS MIDLAND PACKAGING LIMITED	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	04/10/2023	01/07/2023
117793317	23740526	PHARMAX HOLDINGS LIMITED	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
118202840	15457831	PRZEDSIEBIORSTWO BUDOWNICTWA	1046744	04566B1 01 SA	14	Inward Re	SBON	T502	11/10/2023	01/07/2023
118202892	2271369	WEGLOKOKS S A	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
118202899	2271369	WEGLOKOKS S A	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
118202907	23253086	OPEX PERFORADORA, S.A. DE C.V.	1079867	36122B1 01 SA	14	Inward Re	SBON	T502	15/11/2024	01/07/2023
118202916	23565378	KAUNO REGIONO ATLIEKU TVARKYMO	1062615	36180B1 02 SA	14	Inward Re	SBON	T502	30/10/2023	01/07/2023
118202924	25452	COMFY QUILTS LIMITED	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
118202944	2732986	FRANCAIS IMPORTA REPRESENT ET	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	05/10/2023	01/07/2023
118202954	3848123	BANQUE MISR SAE	1046684	03159C1 03 SA	14	Inward Re	SCRE	T502	06/10/2023	01/07/2023
118202979	3878406	POLSKI KONCERN NAFTOWY ORLEN S A	1046672	03079C1 72 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118202992	50574064	METREM BECLEAN SRL	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
118203277	16711652	CHINA COMMUNICATIONS CONSTRUCTION	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
118351697	796492	CHINA PETROCHEMICAL CORPORATION	1046977	09781C1 01 SA	14	Inward Re	SCRE	T502	18/11/2023	01/07/2023
118202854	16549970	INGENIERIA Y CONSTRUCCION SIGDO	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	06/10/2023	01/07/2023
118202964	3848336	NATIONAL BANK OF EGYPT	1046684	03159C1 03 SA	14	Inward Re	SCRE	T502	31/10/2023	01/07/2023
118447956	14490225	IDEMITSU KOSAN CO LTD	1086167	08890B1 01 SA	14	Inward Re	SBON	T502	31/10/2023	01/07/2023
118449417	303371	BP P.L.C.	1046672	03079C1 72 SA	14	Inward Re	SCRE	T502	30/10/2023	01/07/2023
118449698	18411945	DINO POLSKA S A	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118449724	18411945	DINO POLSKA S A	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118449758	18874882	GAMI INGENIERÍA E INSTALACIONES,	1079867	36122B1 01 SA	14	Inward Re	SBON	T502	31/07/2023	01/07/2023
118449987	2061293	CEGELEC - SA	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	31/10/2023	01/07/2023
118450550	13735294	INTERTRADE HELLAS S.A.	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118450619	16549526	DEKPOL S A	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118450729	16549526	DEKPOL S A	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118450759	3937153	POLIMEX MOSTOSTAL S A	1046744	04566B1 01 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
118450800	55174297	TASK CONSUMER PRODUCTS LIMITED	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/10/2023	01/07/2023
118450845	9760620	SOCIETE DE DISTRIBUTION DE TOUTES	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	11/10/2023	01/07/2023
118451337	10188420	KOLIN INSAAT TURIZM SANAYI VE	1046669	03079B1 73 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
