BusID	Debtor	Country	ParentBusID
13702221	SYSTEMA AMBIENTE S.P.A.	ITA	13702221
17722302	KTC CIVIL ENGINEERING &	SGP	17722302
88344203	DAIKAN CO.,LTD.	JPN	88344203
15481457	DHARAMPAL SATYAPAL LIMITED	IND	15481457
22325159	SEB POWER SDN. BHD.	MYS	22007907
22406695	PT. PURINUSA EKAPERSADA	IDN	22406695
22086272	GALADARI BROTHERS CO LLC	ARE	22086272
2750713	PENTECH INTERNATIONAL INC	USA	2750713
13679214	YPF SA	ARG	13679214
22409774	COMPAÑIA GENERAL DE COMBUSTIBLES	ARG	22409774
1850315	TECPETROL S.A.	ARG	20169929
4008399	SWIETELSKY AG	AUT	4008399
91709119	GALINTA UAB	LTU	91709119
22763473	TOKSIKA UAB	LTU	22763473
9940017	WARTER FUELS S A	POL	20870994
13860251	J & S ENERGY S A	POL	16937232
1171624	AIRLINK (PTY) LTD	ZAF	1171624
1114530	QATAR AIRWAYS GROUP Q.C.S.C	QAT	1114530
1475065	ETHIOPIAN AIRLINES GROUP	ETH	1475065
2376469	EMIRATES - EMIRATES AIRLINES	ARE	2376469
4124457	KENYA AIRWAYS PLC	KEN	4124457
4067527	AIR FRANCE - KLM	FRA	4067527
2196397	DEUTSCHE LUFTHANSA	DEU	2196397
1576943	TURK HAVA YOLLARI ANONIM ORTAKLIGI	TUR	1576943
3380501	KONINKLIJKE LUCHTVAART	NLD	4067527
146822	BRITISH AIRWAYS PLC	GBR	18790665
1207429	AIR SEYCHELLES LTD	SYC	1207429
2570126	SWISSAIR SCHWEIZERISCHE	CHE	2570126
3989969	EGYPT AIR HOLDING COMPANY - EGYPT	EGY	3989969
1933080	UNITED AIRLINES, INC.	USA	10449930
23612548	CONSORTIUM DE PRODUITS CHIMIQUES	BFA	23612548
19863070	RWANDAIR LTD	RWA	19863070
22170034	ISIK TARIM URUNLERI SANAYI VE	TUR	22170034
23282678	LILE DE FRUITS	MAR	23282678
1683638	DELTA AIR LINES, INC.	USA	1683638
45456579	FASTJET LIMITED	GBR	45456579
2716276	SINGAPORE AIRLINES LIMITED	SGP	1625657
33806446	CEMAIR (PTY) LTD	ZAF	33806446
4301018	QANTAS AIRWAYS LIMITED	AUS	4301018
3889302	AIR BOTSWANA CORPORATION LTD	BWA	7293044
23900022	GLOBAL AIRWAYS (PTY) LTD	ZAF	23900022
636060	LAM-LINHAS DE MOZAMBIQUE	MOZ	636060
11597942	AIR AUSTRAL	REU	11597942
19718853	SAFAIR OPERATIONS (PTY) LTD	ZAF	19843904
21560307	TAAG-ANGOLA AIRLINES	AGO	21560307
23900025	UGANDA AIRLINES CORPORATION	UGA	23900025
14794184	ETIHAD AIRWAYS PJSC	ARE	14794184
2637931	EL AL ISRAEL AIRLINES LTD	ISR	2637931
18865436	ASKY AIRLINES	TGO	18865436
1480336	TJX COMPANIES, INC., THE	USA	1480336
65133174	AIR PEACE LTD	NGA	65133174
4037251	AIR CANADA	GBR	4037251
2088738	AMERICAN AIRLINES, INC.	USA	548253
851953	MALAYSIAN AIRLINE SYSTEM BERHAD	MYS	15456567
23900030	SAUDI AIRLINES	SAU	23900030
2537666	AIR CHINA LIMITED	CHN	2537666
1663068	KOREAN AIRLINES COLTD	KOR	1663068
19400409	MONSANTO DE GUATEMALA SA	GTM	19400409
23895027	ROYAL PRODUCE S.A	GTM	23895027
22395468	INDUSTRIAS NOVAFILM S.A.	GTM	22395468
60306840	IBERIA LINEAS AEREAS DE ESPAÑA	ESP	18790665
2446052	FOSFORERA CENTROAMERICANA SA	GTM	2446052
23255152	INVERSIONES KANXAN, SOCIEDAD	GTM	23255152
23255155	EXPORTADORA CIELITO LINDO S.A.	GTM	23255155
2466378	AIR ZIMBABWE CORPORATION	ZWE	2466378
4160648	CATHAY PACIFIC AIRWAYS LIMITED	HKG	4160648
8114912	SOCIETE NATIONALE DE TRANPORTS	MDG	8114912
1164186	SLOVENSKE ZELEZNICE, D.O.O.	SVN	1164186
13972804	KOLEKTOR MOBILITY UPRAVLJANJE	SVN	24078758
16228194	POMGRAD, GRADBENO PODJETJE D.D.	SVN	16228194
131053	PETROL, SLOVENSKA ENERGETSKA	SVN	131053
4174816	IMPOL, INDUSTRIJA METALNIH	SVN	18730975
7164756	STORE STEEL PODJETJE ZA	SVN	7164756
11294410	ISKRA VARJENJE PODJETJE ZA	SVN	11294410
13972354	INTEREUROPA, GLOBALNI LOGISTICNI	SVN	13972354
16945355	KM INSTALACIJE INSTALACIJE PRI	SVN	16945355
20727945	JAVNI HOLDING LJUBLJANA, D.O.O.,	SVN	20727945
21618747	VOC EKOLOGIJA, UREJANJE OKOLJA	SVN	21618747
23583127	VIZIJA HOLDING, FINANCNA DRUZBA,	SVN	23583127
1834083	SIJ ACRONI PODJETJE ZA PROIZVODNJO	SVN	699903
9033411	RIKO, INDUSTRIJSKI, GRADBENI	SVN	9033411
16087855	KOSTAK, KOMUNALNO IN GRADBENO	SVN	16087855
19923645	HOLDING SLOVENSKE ELEKTRARNE	SVN	19923645
22961424	FORTENOVA GRUPA DIONICKO DRUSTVO	HRV	22961424
10323108	PLAN GROUP INC	CAN	10323108
575243	ICA FLÚOR DANIEL, S. DE R.L. DE	MEX	575243
16372995	BANCO ITAULEASING S/A	BRA	13679936
18789253	RIPCONCIV CONSTRUCCIONES CIVILES	ECU	18789253
1063237	AEON CO LTD	JPN	1063237
3848997	ITOCHU CORPORATION	JPN	3848997
1576460	MITSUBISHI CORPORATION	JPN	1576460
3867460	MITSUI & CO LTD	JPN	3867460
14022479	TOMOSHIA HOLDINGS CO LTD	JPN	14022479
4180263	NH FOODS LTD	JPN	4180263
16804253	ARATA CORPORATION	JPN	16804253
16274363	PAN PACIFIC INTERNATIONAL HOLDINGS	JPN	16274363
10542355	NIHON COCA-COLA KK	JPN	1349079
164165	KATO SANGYO CO LTD	JPN	164165
2455008	MITSUBISHI CHEMICAL GROUP CORP	JPN	2455008
10401349	SOFTBANK CORP	JPN	718959
3987274	KOKUBU GROUP CORP	JPN	3987274
18250633	MEGMILK SNOW BRAND CO.,LTD.	JPN	18250633
17872158	MEIJI HOLDINGS CO., LTD.	JPN	17872158
11668065	EIKO TRADING CO LTD (KK EIKO)	JPN	11668065
16565434	SEVEN&I HOLDINGS CO LTD	JPN	16565434
4126703	MARUBENI CORPORATION	JPN	4126703
4199842	NIPPON STEEL CORPORATION	JPN	4199842
16882032	KIRIN HOLDINGS CO LTD	JPN	16882032
21309821	ASAMI CO.,LTD.	JPN	21309821
21894449	AMAZON JAPAN G.K.	JPN	8964313
13856073	YAMAE HISANO CO., LTD	JPN	13856073
9830912	MORINAGA MILK INDUSTRY CO., LTD.	JPN	9830912
11485275	MEDIPAL HOLDINGS CORPORATION	JPN	11485275
15317326	YAMADA HOLDINGS CO LTD	JPN	15317326
4262704	SUMITOMO CHEMICAL CO LTD	JPN	4262704
14132464	JOSHIN DENKI CO LTD	JPN	14132464
14301918	BIC CAMERA INC	JPN	14301918
18896568	ISE HIYOKO K.K.	JPN	18896568
16228645	EDION CORPORATION	JPN	16228645
4295031	DAI NIPPON PRINTING CO LTD	JPN	4295031
9863384	KYODO MILK INDUSTRY CO LTD	JPN	9863384
805876	SUMITOMO CORPORATION	JPN	805876
4228650	SONY GROUP CORPORATION	JPN	4228650
11507313	NIHONSHURUIHANBAI CO LTD	JPN	11507313
16613740	NASIO CO., LTD	JPN	16613740
18686250	NOJIMA CORPORATION	JPN	18686250
1151723	SOJITZ CORPORATION	JPN	1151723
4259351	PANASONIC HOLDINGS CORPORATION	JPN	4259351
11507246	SATOH & CO LTD	JPN	11507246
15731955	KS HOLDINGS CORPORATION	JPN	15731955
826921	MITSUBISHI ELECTRIC CORPORATION	JPN	826921
1160172	AIR WATER INC	JPN	1160172
3898688	YAMAZAKI BAKING CO LTD	JPN	3898688
18896562	JUMONJI CHICKEN COMPANY, LTD.	JPN	18896562
20052806	OJI HOLDINGS CORPORATION	JPN	20052806
17160175	LIFE CORPORATION	JPN	17160175
11282919	HOKUETSU CORPORATION	JPN	11282919
11507229	SHOEI FOODS CORPORATION	JPN	11507229
13669199	CHUO DENKI KOGYO CO LTD	JPN	13955850
13856987	JAPANESE CONSUMERS CO-OPERATIVE	JPN	13856987
16454363	RAKUTEN GROUP INC	JPN	16454363
16745229	KOGETSU-SANGYO CO LTD	JPN	16745229
16802804	TOMOE DAIRY PROCESSING CO LTD	JPN	16802804
19531114	FRIEDEN CO.,LTD.	JPN	19531114
1967974	TOPPAN INC.	JPN	1967974
11674830	TAKANASHI MILK PRODUCTS CO LTD	JPN	11674830
20869411	ARCS CO LTD	JPN	20869411
23698671	LIKAMAN HOLDINGS CO., LTD.	JPN	11507411
837133	KANEMATSU CORPORATION	JPN	837133
13955139	DAIWABO HOLDINGS CO LTD	JPN	13955139
13955521	LIXIL CORPORATION	JPN	13955521
13956516	MITSUBISHI GAS CHEMICAL CO INC	JPN	13956516
66183879	ITOHAM YONEKYU HOLDINGS INC.	JPN	66183879
1565314	HITACHI LTD	JPN	1565314
96224819	FEED ONE CO LTD	JPN	96224819
3892771	TOYOTA TSUSHO CORPORATION	JPN	3892771
11174487	TOYO INK SC HOLDINGS CO LTD	JPN	11174487
17842771	S FOODS INC	JPN	17842771
1682056	RENGO CO LTD	JPN	1682056
2296635	SHARP CORPORATION	JPN	2296635
4339676	NACX CORPORATION	JPN	4126703
4777779	SHIN-ETSU CHEMICAL CO LTD	JPN	4777779
5908066	INAGEYA CO LTD	JPN	5908066
11219324	MITSUI CHEMICALS INC	JPN	11219324
4801469	SEKISUI CHEMICAL CO LTD	JPN	4801469
11679890	TYCO ELECTRONICS JAPAN GK	JPN	11679890
972070	TORAY INDUSTRIES INC	JPN	972070
1342932	NIPPON PAINT HOLDINGS CO LTD	JPN	1342932
11201617	RESONAC HOLDINGS CORPORATION	JPN	11201617
20415333	U-CORPORATION CO LTD	JPN	20415333
4281824	UBE CORPORATION	JPN	4281824
4320262	TOSHIBA CORPORATION	JPN	4320262
1326145	ASAHI KASEI CORP	JPN	1326145
4114654	TOA SHOJI CO LTD	JPN	4114654
13823112	MARUDAI FOOD CO LTD	JPN	13823112
15737685	MR MAX HOLDINGS LTD	JPN	15737685
18413048	ENEOS HOLDINGS INC	JPN	18413048
19167941	TSURUHA HOLDINGS INC.	JPN	19167941
23837943	TSURUKAWA CHIKUSAN SHIRYO K.K.	JPN	23837943
2037650	TOYOTA MOTOR CORPORATION	JPN	2037650
14833605	ALFRESA HOLDINGS CORPORATION	JPN	14833605
15852413	TOKYU CORPORATION	JPN	15852413
15758675	TRIAL COMPANY INC	JPN	15758675
91195055	NAKAZAWA NYUGYO KK	JPN	91195055
