BAlloon ID	Bus ID	Amount Requested	Amount Decided	Currency	AttradiusReshare	LOB	Answer Date	Request Date	Expiry Date	Comments
36022B3 04	13702221	2660000	2660000	EUR	15.0	B	06/02/2020	06/02/2020	30/06/2024	-
36022B3 03	13702221	2386666	2386666	EUR	15.0	B	06/02/2020	06/02/2020	30/06/2024	-
36069B3 07	17722302	10437142	10437142	SGD	70.0	B	06/02/2020	06/02/2020	31/08/2024	-
36022B3 02	13702221	8977777	8977777	EUR	9.0	B	15/01/2021	06/02/2020	31/12/2027	-
08890C3 02	22086272	1022080679	1022080679	JPY	7.06	C	29/01/2021	29/01/2021	28/02/2026	-
36146B3 01	2750713	44949948	44949948	PAB	3.12	B	02/03/2021	06/02/2020	28/07/2023	-
36122B3 01	575243	420540000	420540000	MXN	5.0	B	31/03/2022	31/03/2022	26/10/2023	-
07359B3 14	575243	123332485	123332485	MXN	29.1	B	31/03/2022	31/03/2022	02/11/2023	-
04550B3 38	16372995	64800000	64800000	BRL	100.0	B	31/03/2022	31/03/2022	04/04/2027	-
09850C3 03	16454363	4339213559	4339213559	JPY	29.5	C	17/08/2022	17/08/2022	25/09/2025	-
04550B3 39	21775268	2395000	2395000	EUR	100.0	B	05/10/2022	05/10/2022	06/04/2027	-
09850B3 02	41598654	2000000000	2000000000	JPY	50.0	B	05/10/2022	05/10/2022	31/08/2023	-
08890C3 03	16073509	7030000000	7030000000	JPY	10.0	C	05/10/2022	05/10/2022	18/03/2027	-
07367B3 39	4252663	205161115	205161115	USD	1.48	B	11/10/2022	10/03/2021	15/07/2024	-
01946B3 06	21865658	18000000	18000000	USD	100.0	B	29/12/2022	06/02/2020	28/12/2023	-
03115B3 17	15868466	104504232429	104504232429	PYG	32.44	B	03/01/2023	03/01/2023	31/12/2023	-
35501B3 03	766996	21220000	21220000	ZAR	50.0	B	30/01/2023	30/03/2022	10/03/2024	-
02126C3 02	13835717	93000337	93000337	ILS	59.26	C	09/02/2023	09/02/2023	31/12/2023	-
02126C3 05	13835717	158000337	158000337	ILS	59.26	C	09/02/2023	09/02/2023	31/12/2023	-
03199C3 03	4868700	3898000	3898000	EUR	100.0	C	09/02/2023	09/02/2023	31/12/2023	-
09850C3 07	718959	1524998547	1524998547	JPY	34.43	C	10/02/2023	09/02/2023	30/09/2023	-
09850C3 09	16454363	1500000000	1500000000	JPY	33.33	C	10/02/2023	10/02/2023	25/03/2026	-
09850C3 06	16454363	2243662477	2243662477	JPY	22.28	C	10/02/2023	10/02/2023	25/04/2025	-
02126B3 03	6589391	100000000	100000000	ILS	50.0	C	13/02/2023	13/02/2023	31/12/2023	-
02585B3 10	962854	170495419	170495419	EUR	2.09	B	13/02/2023	13/02/2023	14/10/2024	-
01946B3 08	17732944	348000	348000	USD	100.0	C	13/02/2023	13/02/2023	02/12/2023	-
09850C3 04	15857960	311400000	311400000	USD	6.0	C	21/03/2023	21/03/2023	01/08/2023	-
01166B3 01	10638576	550000000	550000000	MXN	4.5	B	11/04/2023	11/04/2023	18/02/2024	-
02143B3 07	9024573	1262458	1262458	USD	12.04	B	17/05/2023	03/10/2022	30/04/2024	-
02126C3 06	17713602	68000337	68000337	ILS	59.26	C	07/06/2023	07/06/2023	30/09/2023	-
EOF
