Balloon ID	Bus ID	Amount Requested	Amount Decided	Currency	AttradiusReshare	LOB	Answer Date	Request Date	Expiry Date	Comments
09850B1 01	88344203	94960000	94960000	JPY	2.5	B	06/02/2020	06/02/2020	15/10/2027	-
02126C1 01	15481457	3295000	3295000	USD	40.0	C	06/02/2020	06/02/2020	31/08/2024	-
09976C1 03	22325159	22500000	22500000	USD	2.8	C	06/02/2020	06/02/2020	01/08/2026	-
09976C1 05	22406695	354357142	354357142	USD	2.8	C	27/11/2020	27/11/2020	20/10/2028	-
36090B1 01	13679214	12000000000	12000000000	ARS	15.0	B	16/04/2021	14/04/2021	31/12/2024	-
36090B1 01	22409774	10000000000	10000000000	ARS	15.0	B	16/04/2021	14/04/2021	31/12/2024	-
36090B1 01	1850315	12000000000	12000000000	ARS	15.0	B	16/04/2021	14/04/2021	31/12/2024	-
36180B1 02	4008399	3624708	3624708	EUR	8.58	B	01/07/2021	28/06/2021	30/04/2028	-
36180B1 02	91709119	12726530	12726530	EUR	24.5	B	13/07/2021	12/07/2021	31/08/2024	-
36180B1 02	22763473	2703962	2703962	EUR	8.58	B	13/08/2021	05/08/2021	14/10/2023	-
04252C1 71	9940017	10000000	10000000	PLN	5.67	C	29/10/2021	28/10/2021	31/10/2023	-
36180C1 01	13860251	10000000	10000000	PLN	15.93	B	20/12/2021	14/12/2021	05/02/2024	-
36197B1 01	10323108	142500000	142500000	CAD	2.0	B	14/03/2022	08/03/2022	24/12/2026	-
03117B1 01	18789253	3140000	3140000	USD	15.0	B	12/04/2022	04/04/2022	31/01/2024	-
36180C1 01	22701557	34252039	34252039	PLN	11.03	C	17/06/2022	15/06/2022	03/01/2024	-
08992C1 04	15240227	2499999	2499999	EUR	28.0	C	15/07/2022	13/07/2022	31/08/2023	-
36180B1 02	19232694	7726530	7726530	EUR	24.5	B	15/07/2022	13/07/2022	31/07/2023	-
36031C1 01	687924	2000000	2000000	USD	45.0	C	15/07/2022	13/07/2022	31/07/2023	-
08890C1 05	15454809	60000000	60000000	USD	4.05	C	12/08/2022	09/08/2022	30/06/2029	-
00794B1 01	24045373	3000000	3000000	EUR	24.0	B	12/08/2022	09/08/2022	31/07/2023	-
03583C1 02	54749353	600000	600000	EUR	39.0	C	12/08/2022	09/08/2022	31/07/2023	-
02108C1 01	11375164	10000000	10000000	USD	25.0	C	22/08/2022	18/08/2022	31/08/2023	-
08992C1 04	16377073	2100000	2100000	EUR	28.0	C	22/08/2022	18/08/2022	31/12/2023	-
35507C1 01	22576961	300000000	300000000	MUR	24.5	C	22/08/2022	18/08/2022	31/07/2023	-
08992C1 04	17257941	2999999	2999999	EUR	28.0	C	23/08/2022	18/08/2022	31/07/2023	-
02108C1 01	19362453	27704000	27704000	USD	25.0	C	23/08/2022	18/08/2022	31/07/2023	-
02065C1 01	19723797	1471498575	1471498575	DZD	17.55	C	23/08/2022	18/08/2022	17/07/2023	-
