BusID	Parent	Country
22007907	SARAWAK ENERGY BERHAD	MYS
20169929	TECHINT HOLDING SARL	LUX
20870994	PALAC PASS SP Z O O	POL
16937232	MERCURIA ENERGY GROUP LIMITED -	CYP
4067527	AIR FRANCE - KLM	FRA
18790665	INTERNATIONAL CONSOLIDATED	ESP
10449930	UNITED AIRLINES HOLDINGS, INC.	USA
1625657	TEMASEK HOLDINGS (PRIVATE) LIMITED	SGP
7293044	MINISTRY OF WORKS, TRANSPORT&	BWA
19843904	SAVERCO NV	BEL
548253	AMERICAN AIRLINES GROUP INC.	USA
15456567	KHAZANAH NASIONAL BERHAD	MYS
24078758	KOLEKTOR UPRAVLJANJE NALOZB D.D.	SVN
18730975	IMPOL 2000 DRUZBA ZA UPRAVLJANJE	SVN
699903	SIJ - SLOVENSKA INDUSTRIJA JEKLA,	SVN
13679936	ITAUSA S/A	BRA
1349079	COCA-COLA COMPANY, THE	USA
718959	SOFTBANK GROUP CORP	JPN
8964313	AMAZON.COM, INC.	USA
13955850	NIPPON DENKO CO LTD	JPN
11507411	LIQUOR MOUNTAIN CO LTD	JPN
4126703	MARUBENI CORPORATION	JPN
19241638	UNIMOT S A	POL
2427835	ADIDAS AG	DEU
895082	TESCO PLC	GBR
4045210	NIKE, INC.	USA
4870530	ASSOCIATED BRITISH FOODS PLC	GBR
4736904	H & M HENNES & MAURITZ AB	SWE
37591	ROCHDALE TEXTILE SUPPLIES LIMITED	GBR
23824573	COFRA GENOSSENSCHAFT	CHE
21525178	PUNTA NA HOLDING SA	ESP
10167268	S. VAN ETTEKOVEN HOLDING B.V.	NLD
4772225	COMPAGNIE DE SAINT-GOBAIN	FRA
3927343	CORTEFIEL SA	ESP
2751535	SYSCO CORPORATION	USA
9314106	PARVES B.V.	NLD
13811702	BENETTON GROUP S.R.L.	ITA
23948468	BELLIS FINCO PLC	GBR
23590756	KAM HING ENTERPRISES INC.	USA
7734139	FLOROS B.V.	NLD
11600396	FIBRES & FABRICS INTERNATIONAL	IND
15329806	SMD (HOLDINGS) LIMITED	GBR
19102242	THE FOSCHINI GROUP LTD	ZAF
10120089	GUESS ?, INC.	USA
11655868	NEXT PLC	GBR
16076086	PMQ HOLDING B.V.	NLD
1970230	DUNNES HOLDING COMPANY UNLIMITED	IRL
119778	CHINA RESOURCES NATIONAL LIMITED	CHN
11394783	MARKS AND SPENCER GROUP P.L.C.	GBR
487311	RNA RESOURCES GROUP LIMITED	VGB
19341055	GROSSO DUO GESELLSCHAFT MBH	AUT
9138930	CLAES RETAIL GROUP NV	BEL
15924	THE BRITISH MILLERAIN COMPANY	GBR
23284980	PEGASUS INTERNATIONAL GMBH	DEU
2133876	J SAINSBURY PLC	GBR
40954089	ASOS PLC	GBR
19307511	AFRICAN FABRICS HOLDINGS B.V.	NLD
21699165	SAS VELCOREX EMANUEL LANG	FRA
628235	JOHN LEWIS PARTNERSHIP PLC	GBR
17402556	ALMA SOCIETA A RESPONSABILITA	ITA
24020928	SDH (SOFT DISCOUNT HOLDING)	FRA
3875400	VOLKSWAGEN AKTIENGESELLSCHAFT	DEU
13022640	SOFIDRA S.A.	LUX
2037650	TOYOTA MOTOR CORPORATION	JPN
16930422	LOUIS DREYFUS COMPANY B.V.	NLD
11683263	BUNGE LIMITED	BMU
23056300	FINANCIERE BRABANT	FRA
11039564	GILDAN ACTIVEWEAR INC	CAN
9793715	WELSPUN INDIA LIMITED	IND
10441452	R. B. PAMPLIN CORPORATION	USA
4724367	HUHTAMÄKI OYJ	FIN
550709	SCHLUMBERGER LIMITED	USA
13405	JOHNSON MATTHEY PLC	GBR
10405332	ALPEK, S.A.B. DE C.V.	MEX
4089747	MAHLE GMBH	DEU
22248214	VITERRA LIMITED	JEY
11436878	AMÉRICA MÓVIL, S.A.B. DE C.V.	MEX
63837092	DAIMLER TRUCK HOLDING AG	DEU
11225619	MIRGOR SACIFIA	ARG
23321006	TETRA LAVAL INTERNATIONAL SA	CHE
2323179	ARCOR SAIC	ARG
19957653	NOVONOR S A EM RECUPERACAO	BRA
