Balloon ID	Bus ID	Current Exposure	Currency	Last Updated	LOB
03604C1 01	1171624	13261111	ZAR	21/01/2022	C
03604C1 01	1114530	13130555	ZAR	21/01/2022	C
03604C1 01	1475065	8572222	ZAR	21/01/2022	C
03604C1 01	2376469	5397222	ZAR	21/01/2022	C
03604C1 01	4124457	4077777	ZAR	21/01/2022	C
03604C1 01	4067527	3094444	ZAR	21/01/2022	C
03604C1 01	2196397	2891666	ZAR	21/01/2022	C
03604C1 01	1576943	2800000	ZAR	21/01/2022	C
03604C1 01	3380501	2694444	ZAR	21/01/2022	C
03604C1 01	146822	1672222	ZAR	21/01/2022	C
03604C1 01	1207429	1411111	ZAR	21/01/2022	C
03604C1 01	2570126	1011111	ZAR	21/01/2022	C
03604C1 01	3989969	961111	ZAR	21/01/2022	C
03604C1 01	1933080	675000	ZAR	21/01/2022	C
03199C1 03	23612548	740625	TND	21/01/2022	C
03604C1 01	19863070	497222	ZAR	21/01/2022	C
03199C1 03	22170034	500000	TND	21/01/2022	C
03199C1 03	23282678	500000	TND	21/01/2022	C
03604C1 01	1683638	402777	ZAR	21/01/2022	C
03604C1 01	45456579	383333	ZAR	21/01/2022	C
03604C1 01	2716276	344444	ZAR	21/01/2022	C
03604C1 01	33806446	305555	ZAR	21/01/2022	C
03604C1 01	4301018	233333	ZAR	21/01/2022	C
03604C1 01	3889302	208333	ZAR	21/01/2022	C
03604C1 01	23900022	200000	ZAR	21/01/2022	C
03604C1 01	636060	191666	ZAR	21/01/2022	C
03604C1 01	11597942	188888	ZAR	21/01/2022	C
03604C1 01	19718853	155555	ZAR	21/01/2022	C
03604C1 01	21560307	138888	ZAR	21/01/2022	C
03604C1 01	23900025	138888	ZAR	21/01/2022	C
03604C1 01	14794184	83333	ZAR	21/01/2022	C
03604C1 01	2637931	69444	ZAR	21/01/2022	C
03604C1 01	18865436	66666	ZAR	21/01/2022	C
03199C1 03	1480336	50000	TND	21/01/2022	C
03604C1 01	65133174	41666	ZAR	21/01/2022	C
03604C1 01	4037251	38888	ZAR	21/01/2022	C
03604C1 01	2088738	30555	ZAR	21/01/2022	C
03604C1 01	851953	16666	ZAR	21/01/2022	C
03604C1 01	23900030	16666	ZAR	21/01/2022	C
03604C1 01	2537666	13888	ZAR	21/01/2022	C
03604C1 01	1663068	11111	ZAR	21/01/2022	C
02582C1 02	19400409	20000	USD	21/01/2022	C
02582C1 02	23895027	20000	USD	21/01/2022	C
02582C1 02	22395468	20000	USD	21/01/2022	C
03604C1 01	60306840	8333	ZAR	21/01/2022	C
02582C1 02	2446052	13333	USD	21/01/2022	C
02582C1 02	23255152	13333	USD	21/01/2022	C
02582C1 02	23255155	6666	USD	21/01/2022	C
03604C1 01	2466378	2777	ZAR	21/01/2022	C
03604C1 01	4160648	2777	ZAR	21/01/2022	C
03604C1 01	8114912	2777	ZAR	21/01/2022	C
08992C1 03	1164186	5371875	EUR	03/03/2022	B
08992C1 03	13972804	8765625	EUR	03/03/2022	B
08992C1 03	16228194	8765625	EUR	03/03/2022	B
08992C1 03	131053	221875	EUR	03/03/2022	B
08992C1 03	4174816	115625	EUR	03/03/2022	B
08992C1 03	7164756	150000	EUR	03/03/2022	B
08992C1 03	11294410	318750	EUR	03/03/2022	B
08992C1 03	13972354	4384375	EUR	03/03/2022	B
08992C1 03	16945355	1468750	EUR	03/03/2022	B
08992C1 03	20727945	87500	EUR	03/03/2022	B
08992C1 03	21618747	2121875	EUR	03/03/2022	B
08992C1 03	23583127	3587500	EUR	03/03/2022	B
08992C1 03	1834083	56250	EUR	03/03/2022	B
08992C1 03	9033411	56250	EUR	03/03/2022	B
08992C1 03	16087855	56250	EUR	03/03/2022	B
08992C1 03	19923645	3125	EUR	03/03/2022	B
08992C1 03	22961424	68750	EUR	03/03/2022	B
08890C1 04	1063237	25390000000	JPY	26/05/2022	C
08890C1 04	3848997	13529000000	JPY	26/05/2022	C
08890C1 04	1576460	10294000000	JPY	26/05/2022	C
08890C1 04	3867460	9568000000	JPY	26/05/2022	C
08890C1 04	14022479	9454000000	JPY	26/05/2022	C
08890C1 04	4180263	7372000000	JPY	26/05/2022	C
08890C1 04	16804253	6992000000	JPY	26/05/2022	C
08890C1 04	16274363	6805000000	JPY	26/05/2022	C
08890C1 04	10542355	5732000000	JPY	26/05/2022	C
08890C1 04	164165	5216000000	JPY	26/05/2022	C
08890C1 04	2455008	5234000000	JPY	26/05/2022	C
08890C1 04	10401349	5289000000	JPY	26/05/2022	C
08890C1 04	3987274	4834000000	JPY	26/05/2022	C
08890C1 04	18250633	5131000000	JPY	26/05/2022	C
08890C1 04	17872158	4798000000	JPY	26/05/2022	C
08890C1 04	11668065	4423000000	JPY	26/05/2022	C
08890C1 04	16565434	4565000000	JPY	26/05/2022	C
08890C1 04	4126703	4224000000	JPY	26/05/2022	C
08890C1 04	4199842	4216000000	JPY	26/05/2022	C
08890C1 04	16882032	4193000000	JPY	26/05/2022	C
08890C1 04	21309821	4222000000	JPY	26/05/2022	C
08890C1 04	21894449	4081000000	JPY	26/05/2022	C
08890C1 04	13856073	3785000000	JPY	26/05/2022	C
08890C1 04	9830912	3473000000	JPY	26/05/2022	C
08890C1 04	11485275	3724000000	JPY	26/05/2022	C
08890C1 04	15317326	3511000000	JPY	26/05/2022	C
08890C1 04	4262704	3315000000	JPY	26/05/2022	C
08890C1 04	14132464	3293000000	JPY	26/05/2022	C
08890C1 04	14301918	3220000000	JPY	26/05/2022	C
08890C1 04	18896568	3303000000	JPY	26/05/2022	C
08890C1 04	16228645	3189000000	JPY	26/05/2022	C
08890C1 04	4295031	3052000000	JPY	26/05/2022	C
08890C1 04	9863384	3016000000	JPY	26/05/2022	C
08890C1 04	805876	2922000000	JPY	26/05/2022	C
08890C1 04	4228650	2858000000	JPY	26/05/2022	C
08890C1 04	11507313	2832000000	JPY	26/05/2022	C
08890C1 04	16613740	2866000000	JPY	26/05/2022	C
08890C1 04	18686250	2880000000	JPY	26/05/2022	C
08890C1 04	1151723	2607000000	JPY	26/05/2022	C
08890C1 04	4259351	2602000000	JPY	26/05/2022	C
08890C1 04	11507246	2662000000	JPY	26/05/2022	C
08890C1 04	15731955	2800000000	JPY	26/05/2022	C
08890C1 04	826921	2536000000	JPY	26/05/2022	C
