Comp	Seq	UW Yr	Short	Cedant	Retro #	Client Cateory	Broker Code	Broker Name	Uwriter	Pd Beg	Pd End	Inception	Type/Form	Class	Terr	Term	Curr	Prem Type	Prem Freq	IBNR	UPR	UPR Description	Financial	Related	Wording	Pipeline	Status	Signed %	Orig EPI	Our Orig EPI	Our EPI Euro	Revised EPI	Our Revised EPI Euro	EPI is Rev EPI or EPI	Last Booked Account	Tech Orig Prem	Tech Orig Net Paid	Tech Orig Brkg/Comm	Tech Orig OSLR	Tech Ledg Prem	Tech Ledg Net Paid	Tech Ledg Brkg/Comm	Tech Ledg OSLR	Tech Inc Ratio (Orig)	Tech Inc Ratio (Ledg)	Fin Orig Prem	Fin Orig Accrd Prem	Fin Orig Net Paid	Fin Orig OSLR	Fin Ledg Prem	Fin Ledg Accrd Prem	Fin Ledg EPI	Fin Ledg Net Paid	Fin Ledg OSLR	Fin Inc Ratio (Orig)	Fin Inc Ratio (Ledg)	Ledger TPE	TPE	Our TPE	Ledger Our TPE	TPE Source	Est Total Cost %	ULR %	Actuarial ULR %	Comm %	Profit Comm %	Profit Comm Date	Brokerage %	Mgmnt Exp. %	O/R Comm %	Min Sliding Scale	LR for Min	Max Sliding Scale	LR for Max	Agg Limit	EEL Limit	Deductible	Protected Share	100% UW Limit	Limit	Excess	Agg Deductible	Placed Share %	Adj Rate %	ROL %	Lead	We Lead?	Bus Id	Risk Basis	Last Update User	Last Update	Retro?	Retro Comp	Retro Seq	Retro Share %	Ceded %	T of T	# Reinstatements	Reinstatements
794	B1 01	23				01			FMU	01/01/2023	31/12/2023	01/01/2003	QS	B	LV	CON	EUR		QTR	5	B01	Bond		N	N	1	125	24.0000	5670000.00	1360800.00	1360800.00	0	0.00	1360800	31/03/2023	238045.28	0.00	-88076.75	0.00	238045.28	0.00	-88076.75	0.00	0.00	0.00	238045.28	1122755.00	0.00	0.00	238045.28	1122755.00	1360800.28	0.00	0.00	0.00	0.00	499027474	499027474	119766594	119766594	1	38.14000	50.00000	0.00000	37.00000	38.00000	31/12/2025	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	1600000	0.00	4000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	60	0	
794	B1 01	22				01			LTE	01/01/2022	31/12/2022	01/01/2003	QS	B	LV	CON	EUR		QTR	5	B01	Bond		N	N	1	125	24.0000	5400000.00	1296000.00	1296000.00	0	0.00	1296000	31/03/2023	1213028.56	0.00	-448820.58	-61411.20	1213028.56	0.00	-448820.58	-61411.20	5.06	5.06	1213028.56	82971.00	0.00	-61411.20	1213028.56	82971.00	1295999.56	0.00	-61411.20	5.06	5.06	458832356	458832356	110119765	110119765	1	38.14000	50.00000	0.00000	37.00000	38.00000	31/12/2024	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	1600000	0.00	4000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	60	0	
794	B1 01	21				01			LTE	01/01/2021	31/12/2021	01/01/2003	QS	B	LV	CON	EUR		QTR	5	B01	Bond		N	N	1	125	32.0000	6480000.00	2073600.00	2073600.00	1910018	1910018.00	1910018	31/03/2023	1838064.90	-253740.62	-670893.69	-141036.69	1838064.90	-253740.62	-670893.69	-141036.69	21.48	21.48	1838064.90	71953.00	-253740.62	-141036.69	1838064.90	71953.00	1910017.90	-253740.62	-141036.69	21.48	21.48	408678898	408678898	130777247	130777247	1	36.50000	55.00000	0.00000	36.50000	38.00000	31/12/2023	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	800000	0.00	4000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	60	0	
794	B1 01	20				01			LTE	01/01/2020	31/12/2020	01/01/2003	QS	B	LV	CON	EUR		QTR	5	B01	Bond		N	Y	1	125	32.0000	4600000.00	1472000.00	1472000.00	2003416	2003416.00	2003416	31/03/2023	1917164.87	-153262.10	-699765.21	-185922.29	1917164.87	-153262.10	-699765.21	-185922.29	17.69	17.69	1917164.87	86251.00	-153262.10	-185922.29	1917164.87	86251.00	2003415.87	-153262.10	-185922.29	17.69	17.69	398903164	398903164	127649012	127649012	1	37.83000	50.00000	0.00000	36.50000	38.00000	31/12/2023	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	800000	0.00	4000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	60	0	
794	B1 01	19				01			MR	01/01/2019	31/12/2019	01/01/2003	QS	B	LV	CON	EUR		QTR	5	B01	Bond		N	Y	1	125	32.0000	4500000.00	1440000.00	1440000.00	1497745	1497745.00	1497745	31/03/2023	1418515.36	-82090.75	-791833.35	-9032.45	1418515.36	-82090.75	-791833.35	-9032.45	6.42	6.42	1418515.36	79230.00	-82090.75	-9032.45	1418515.36	79230.00	1497745.36	-82090.75	-9032.45	6.42	6.42	377768009	377768009	120885763	120885763	1	44.15000	35.00000	0.00000	37.50000	38.00000	31/12/2021	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	800000	0.00	4000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	60	0	
794	B1 01	18				01			MR	01/01/2018	31/12/2018	01/01/2003	QS	B	LV	CON	EUR		QTR	5	B01	Bond		N	Y	1	125	20.0000	4000000.00	800000.00	800000.00	831698	831698.00	831698	31/03/2023	831205.05	-284043.54	-342419.07	-86600.00	831205.05	-284043.54	-342419.07	-86600.00	44.59	44.59	831205.05	493.00	-284043.54	-86600.00	831205.05	493.00	831698.05	-284043.54	-86600.00	44.59	44.59	230248298	230248298	46049660	46049660	1	40.35000	45.00000	0.00000	37.50000	38.00000	31/12/2020	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	2000000	0.00	4000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	60	0	
794	B1 01	17				01			MR	01/01/2017	31/12/2017	01/01/2003	QS	B	LV	CON	EUR		QTR	5	B01	Bond		N	Y	1	125	20.0000	2000000.00	400000.00	400000.00	560959	560959.00	560959	31/03/2023	560864.40	-282660.88	-210324.44	-40000.00	560864.40	-282660.88	-210324.44	-40000.00	57.53	57.53	560864.40	95.00	-282660.88	-40000.00	560864.40	95.00	560959.40	-282660.88	-40000.00	57.53	57.53	112060328	112060328	22412066	22412066	1	37.91800	51.40000	0.00000	37.50000	38.00000	01/01/2019	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	1500000	0.00	3000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	30	0	
794	B1 01	16				01			MR	01/01/2016	31/12/2016	01/01/2003	QS	B	LV	CON	EUR		QTA	0	XCL	Exclude from Calculations		N	Y	0	125	20.0000	2931000.00	586200.00	586200.00	407843	407843.00	407843	31/03/2022	407843.35	-149818.23	-177352.18	0.00	407843.35	-149818.23	-177352.18	0.00	36.73	36.73	407843.35	0.00	-149818.23	0.00	407843.35	0.00	407843.35	-149818.23	0.00	36.73	36.73	129099875	129099875	25819975	25819975	1	42.25000	40.00000	0.00000	37.50000	38.00000	01/01/2019	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	1500000	0.00	3000000.00	0.00	0.00	0	0.00000	0.00	0.00000	>ATR	Y		UY	PCA2	29/06/2023	N			0.00	0.00	30	0	
794	B1 01	15				01			MR	01/01/2015	31/12/2015	01/01/2003	QS	B	LV	CON	EUR		QTA	0	XCL	Exclude from Calculations		N	Y	0	125	7.8000	3100000.00	241800.00	241800.00	148693	148693.00	148693	31/12/2019	148693.21	-8231.05	-79718.60	0.00	148693.21	-8231.05	-79718.60	0.00	5.54	5.54	148693.21	0.00	-8231.05	0.00	148693.21	0.00	148693.21	-8231.05	0.00	5.54	5.54	140000000	140000000	10920000	10920000	1	52.05000	10.00000	0.00000	37.00000	35.00000	01/01/2018	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	1200000	0.00	3000000.00	0.00	0.00	0	0.00000	0.00	0.00000	05830	N		UY	NMA2	15/05/2023	N			0.00	0.00	30	0	
794	B1 01	14				01			MR	01/01/2014	31/12/2014	01/01/2003	QS	B	LV	CON	EUR		QTA	0	XCL	Exclude from Calculations		N	N	0	125	7.8000	3000000.00	234000.00	234000.00	174793	174793.00	174793	31/03/2023	174792.74	-9010.14	-84273.34	-21138.04	174792.74	-9010.14	-84273.34	-21138.04	17.25	17.25	174792.74	0.00	-9010.14	0.00	174792.74	0.00	174792.74	-9010.14	0.00	5.15	5.15	189319531	189319531	14766923	14766923	1	43.40000	31.00000	0.00000	35.00000	35.00000	01/01/2015	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	1000000	0.00	2500000.00	0.00	0.00	0	0.00000	0.00	0.00000	05830	N		UY	NMA2	15/05/2023	N			0.00	0.00	30	0	
794	B1 01	13				01			MR	01/01/2013	31/12/2013	01/01/2003	QS	B	LV	CON	EUR		QTA	0	XCL	Exclude from Calculations		N	Y	0	125	7.0000	2200000.00	154000.00	154000.00	0	0.00	154000	31/12/2019	140475.27	-4999.36	-74458.13	0.00	140475.27	-4999.36	-74458.13	0.00	3.56	3.56	140475.27	0.00	-4999.36	0.00	140475.27	0.00	140475.27	-4999.36	0.00	3.56	3.56	216975332	216975332	15188273	15188273	1	47.25000	20.00000	0.00000	35.00000	35.00000	01/01/2013	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	1000000	0.00	2500000.00	0.00	0.00	0	0.00000	0.00	0.00000	05830	N		UY	ASH2	11/12/2021	N			0.00	0.00	30	0	
794	B1 01	12				01			MR	01/01/2012	31/12/2012	01/01/2003	QS	B	LV	CON	EUR		QTA	0	XCL	Exclude from Calculations		N	Y	0	125	11.0000	3400000.00	374000.00	374000.00	0	0.00	374000	31/03/2023	289829.46	-60311.84	-128530.09	-5236.36	289829.46	-60311.84	-128530.09	-5236.36	22.62	22.62	289829.46	0.00	-60311.84	0.00	289829.46	0.00	289829.46	-60311.84	0.00	20.81	20.81	246768314	246768314	27144515	27144515	1	45.21000	20.00000	0.00000	33.00000	33.00000	01/01/2013	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	600000	0.00	1500000.00	0.00	0.00	0	0.00000	0.00	0.00000	05830	N		UY	ASH2	11/12/2021	N			0.00	0.00	30	0	
794	B1 01	11				01			MR	01/01/2011	31/12/2011	01/01/2003	QS	B	LV	CON	EUR		QTA	0	XCL	Exclude from Calculations		N	Y	0	125	11.0000	4100000.00	451000.00	451000.00	355159	355159.00	355159	31/03/2023	344310.11	-95194.62	-144041.13	-8901.39	344310.11	-95194.62	-144041.13	-8901.39	30.23	30.23	344310.11	0.00	-95194.62	0.00	344310.11	0.00	344310.11	-95194.62	0.00	27.65	27.65	334294817	334294817	36772430	36772430	1	41.91000	30.00000	0.00000	33.00000	33.00000	01/01/2012	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	600000	0.00	1500000.00	0.00	0.00	0	0.00000	0.00	0.00000	05830	N		UY	ASH2	11/12/2021	N			0.00	0.00	30	0	
794	B1 01	10				01			MR	01/01/2010	31/12/2010	01/01/2003	QS	B	LV	CON	EUR		QTA	0	XCL	Exclude from Calculations		N	Y	0	125	29.4000	3000000.00	882000.00	882000.00	763811	763811.00	763811	31/12/2017	763811.09	-140229.89	-334036.17	0.00	763811.09	-140229.89	-334036.17	0.00	18.36	18.36	763811.09	0.00	-140229.89	0.00	763811.09	0.00	763811.09	-140229.89	0.00	18.36	18.36	278208940	278208940	81793428	81793428	1	43.69500	18.50000	0.00000	30.00000	33.00000	01/01/2012	0.00000	10.00000	0.00000	0.00000	0	0.00000	0	0	0	569200	0.00	1423000.00	0.00	0.00	0	0.00000	0.00	0.00000	35003	Y		UY	ASH2	11/12/2021	N			0.00	0.00	30	0	
794	B2 01	23				01			FMU	01/01/2023	31/12/2023	01/01/2017	XL	B	LV	REN	EUR	ADJ	ANN	5	365	365th's over policy period	1	N	N	1	125	40.0000	0.00	119297.00	119297.00	0	0.00	119297	31/12/2023	95440.00	0.00	0.00	0.00	95440.00	0.00	0.00	0.00	0.00	0.00	95440.00	23857.00	0.00	0.00	95440.00	23857.00	119297.00	0.00	0.00	0.00	0.00	0	0	0	0		0.00000	3.22000	0.00000	0.00000	0.00000	02/01/1900	0.00000	0.00000	0.00000	0.00000	0	0.00000	0	0	0	0	40.00	20000000.00	9250000.00	750000.00	0	100.00000	13.15	3.22000	>ATR	Y		OY	PCA2	29/06/2023	N			0.00	0.00	60	1	1@100%
794	B2 01	22				01			LTE	01/01/2022	31/12/2022	01/01/2017	XL	B	LV	REN	EUR	ADJ	ANN	5	365	365th's over policy period	1	N	N	1	125	40.0000	0.00	114048.00	114048.00	0	0.00	114048	31/12/2022	96322.07	0.00	0.00	0.00	96322.07	0.00	0.00	0.00	0.00	0.00	96322.07	17726.00	0.00	0.00	96322.07	17726.00	114048.07	0.00	0.00	0.00	0.00	0	0	0	0		0.00000	3.08000	0.00000	0.00000	0.00000	02/01/1900	0.00000	0.00000	0.00000	0.00000	0	0.00000	0	0	0	0	40.00	20000000.00	9250000.00	750000.00	0	100.00000	13.20	3.08000	>ATR	Y		OY	PCA2	29/06/2023	N			0.00	0.00	60	1	1@100%
794	B2 01	21				01			LTE	01/01/2021	31/12/2021	01/01/2017	XL	B	LV	REN	EUR	ADJ	ANN	5	365	365th's over policy period	1	N	N	1	125	40.0000	0.00	32659.00	32659.00	0	0.00	32659	31/12/2021	28570.84	0.00	0.00	0.00	28570.84	0.00	0.00	0.00	0.00	0.00	28570.84	4088.00	0.00	0.00	28570.84	4088.00	32658.84	0.00	0.00	0.00	0.00	0	0	0	0		0.00000	0.88000	0.00000	0.00000	0.00000	02/01/1900	0.00000	0.00000	0.00000	0.00000	0	0.00000	0	0	0	0	20.00	20000000.00	9250000.00	750000.00	0	100.00000	6.30	0.88000	>ATR	Y		OY	PCA2	29/06/2023	N			0.00	0.00	60	1	1@100%
794	B2 01	20				01			LTE	01/01/2020	31/12/2020	01/01/2017	XL	B	LV	REN	EUR	ADJ	ANN	5	365	365th's over policy period	1	N	Y	1	125	40.0000	0.00	17664.00	17664.00	23671	23671.00	23671	31/12/2020	23670.56	0.00	0.00	0.00	23670.56	0.00	0.00	0.00	0.00	0.00	23670.56	0.00	0.00	0.00	23670.56	0.00	23670.56	0.00	0.00	0.00	0.00	0	0	0	0		0.00000	0.48000	0.00000	0.00000	0.00000	02/01/1900	0.00000	0.00000	0.00000	0.00000	0	0.00000	0	0	0	0	20.00	20000000.00	9250000.00	750000.00	0	100.00000	4.80	0.48000	>ATR	Y		OY	PCA2	29/06/2023	N			0.00	0.00	60	1	1@100%
